"Pair ID","Group","Round","Proposer","Offer A (€)","Offer B (€)","Response","Timestamp","","","","","",""
"Pair_VH56JI","1","1","Person A","€300","€700","Too low - counteroffer","2025-12-04 17:09:24","","","","","",""
"Pair_VH56JI","1","2","Person B","€201","€799","Too low - counteroffer","2025-12-04 17:10:26","","","","","",""
"Pair_VH56JI","1","3","Person A","€350","€650","Too low - counteroffer","2025-12-04 17:11:17","","","","","",""
"Pair_VH56JI","1","4","Person B","€260","€740","Too low - counteroffer","2025-12-04 17:11:47","","","","","",""
"Pair_VH56JI","1","5","Person A","€350","€650","Too low - counteroffer","2025-12-04 17:12:04","","","","","",""
"Pair_VH56JI","1","6","Person B","€250","€750","Too low - counteroffer","2025-12-04 17:12:48","","","","","",""
"Pair_VH56JI","1","7","Person A","€340","€660","Too low - counteroffer","2025-12-04 17:13:06","","","","","",""
"Pair_VH56JI","1","8","Person B","€275","€725","Not accept","2025-12-04 17:13:21","","","","","",""
"Pair_gLLvsZ","2","1","Person B","€250","€750","Accept - offer accepted","2025-12-04 17:09:00","","","","","",""
"Pair_xkLtav","2","1","Person A","€300","€700","Accept - offer accepted","2025-12-04 17:10:11","","","","","",""
"Pair_Wu8LuX","4","1","Person B","€350","€650","Accept - offer accepted","2025-12-04 17:11:22","","","","","",""
"Pair_TmeCS-","2","1","Person B","€250","€750","Too low - counteroffer","2025-12-04 17:11:20","","","","","",""
"Pair_TmeCS-","2","2","Person A","€310","€690","Not accept","2025-12-04 17:11:41","","","","","",""
"Pair_JnHeFA","4","1","Person B","€200","€800","Too low - counteroffer","2025-12-04 17:12:10","","","","","",""
"Pair_JnHeFA","4","2","Person A","€300","€700","Too low - counteroffer","2025-12-04 17:12:54","","","","","",""
"Pair_JnHeFA","4","3","Person B","€220","€780","Too low - counteroffer","2025-12-04 17:13:14","","","","","",""
"Pair_JnHeFA","4","4","Person A","€300","€700","Too low - counteroffer","2025-12-04 17:13:32","","","","","",""
"Pair_JnHeFA","4","5","Person B","€210","€790","Too low - counteroffer","2025-12-04 17:13:45","","","","","",""
"Pair_JnHeFA","4","6","Person A","€320","€680","Not accept","2025-12-04 17:14:05","","","","","",""
"Pair_auPqJM","1","1","Person A","€750","€250","Accept - offer accepted","2025-12-04 17:13:20","","","","","",""
"Pair_V0_Ee8","3","1","Person B","€250","€750","Too low - counteroffer","2025-12-04 17:14:04","","","","","",""
"Pair_V0_Ee8","3","2","Person A","€350","€650","Too low - counteroffer","2025-12-04 17:14:21","","","","","",""
"Pair_V0_Ee8","3","3","Person B","€300","€700","Accept - offer accepted","2025-12-04 17:14:41","","","","","",""
"Pair_cPI0zi","1","1","Person B","€250","€750","Too low - counteroffer","2025-12-04 17:13:35","","","","","",""
"Pair_cPI0zi","1","2","Person A","€500","€500","Too low - counteroffer","2025-12-04 17:14:04","","","","","",""
"Pair_cPI0zi","1","3","Person B","€240","€760","Too low - counteroffer","2025-12-04 17:14:20","","","","","",""
"Pair_cPI0zi","1","4","Person A","€400","€600","Too low - counteroffer","2025-12-04 17:14:35","","","","","",""
"Pair_cPI0zi","1","5","Person B","€230","€770","Too low - counteroffer","2025-12-04 17:14:54","","","","","",""
"Pair_cPI0zi","1","6","Person A","€250","€750","Accept - offer accepted","2025-12-04 17:15:13","","","","","",""
"Pair_JJGajy","3","1","Person B","€250","€750","Too low - counteroffer","2025-12-04 17:14:12","","","","","",""
"Pair_JJGajy","3","2","Person A","€300","€700","Accept - offer accepted","2025-12-04 17:15:12","","","","","",""
"Pair_ELRYzb","1","1","Person B","€300","€700","Accept - offer accepted","2025-12-04 17:14:48","","","","","",""
"Pair_hrlRBQ","4","1","Person A","€300","€700","Too low - counteroffer","2025-12-04 17:14:34","fehler","","","","",""
"Pair_hrlRBQ","4","2","Person B","€800","€200","Too low - counteroffer","2025-12-04 17:15:03","","","","","",""
"Pair_hrlRBQ","4","3","Person A","€250","€750","Too low - counteroffer","2025-12-04 17:15:21","","","","","",""
"Pair_hrlRBQ","4","4","Person B","€779","€221","Accept - offer accepted","2025-12-04 17:15:47","","","","","",""
"Pair_hiJ1QS","2","1","Person B","€0","€1,000","Too low - counteroffer","2025-12-04 17:15:34","","","","","",""
"Pair_hiJ1QS","2","2","Person A","€250","€750","Accept - offer accepted","2025-12-04 17:15:58","","","","","",""
"Pair_DdLt2p","3","1","Person B","€202","€798","Too low - counteroffer","2025-12-04 17:16:00","","","","","",""
"Pair_DdLt2p","3","2","Person A","€250","€750","Accept - offer accepted","2025-12-04 17:16:33","","","","","",""
"Pair_fO10NO","1","1","Person A","€500","€500","Too low - counteroffer","2025-12-04 17:15:47","","","","","",""
"Pair_fO10NO","1","2","Person B","€250","€750","Too low - counteroffer","2025-12-04 17:16:17","","","","","",""
"Pair_fO10NO","1","3","Person A","€400","€600","Too low - counteroffer","2025-12-04 17:16:27","","","","","",""
"Pair_fO10NO","1","4","Person B","€275","€725","Too low - counteroffer","2025-12-04 17:16:46","fehler","","","","",""
"Pair_fO10NO","1","5","Person A","€370","€630","Too low - counteroffer","2025-12-04 17:17:03","","","","","",""
"Pair_fO10NO","1","6","Person B","€280","€720","Accept - offer accepted","2025-12-04 17:17:18","","","","","",""
"Pair_gRwUEN","2","1","Person B","€500","€500","Accept - offer accepted","2025-12-04 17:15:48","","","","","",""
"Pair_iGWhhG","3","1","Person B","€720","€280","Not accept","2025-12-06 14:22:35","","","","","",""
"Pair_ZxgUbw","4","1","Person B","€200","€800","Too low - counteroffer","2025-12-06 14:24:02","","","","","",""
"Pair_ZxgUbw","4","2","Person A","€330","€670","Better offer outside option","2025-12-06 14:24:35","","","","","",""
"Pair_ZxgUbw","4","3","Person B","€200","€800","Not accept","2025-12-06 14:25:15","","","","","",""
"Pair_FhMLtg","3","1","Person B","€300","€700","Accept - offer accepted","2025-12-08 09:28:49","","","","","",""
"Pair_XPaWEE","3","1","Person B","€50","€950","Too low - counteroffer","2025-12-08 09:28:02","","","","","",""
"Pair_XPaWEE","3","2","Person A","€349","€651","Too low - counteroffer","2025-12-08 09:28:47","","","","","",""
"Pair_XPaWEE","3","3","Person B","€50","€950","Too low - counteroffer","2025-12-08 09:29:16","","","","","",""
"Pair_XPaWEE","3","4","Person A","€200","€800","Too low - counteroffer","2025-12-08 09:30:00","","","","","",""
"Pair_XPaWEE","3","5","Person B","€51","€949","Too low - counteroffer","2025-12-08 09:31:03","","","","","",""
"Pair_XPaWEE","3","6","Person A","€194","€806","Accept - offer accepted","2025-12-08 09:33:16","","","","","",""
"Pair_s5lQqN","4","1","Person B","€250","€750","Too low - counteroffer","2025-12-08 09:27:18","","","","","",""
"Pair_s5lQqN","4","2","Person A","€300","€700","Too low - counteroffer","2025-12-08 09:27:46","","","","","",""
"Pair_s5lQqN","4","3","Person B","€150","€850","Too low - counteroffer","2025-12-08 09:29:39","","","","","",""
"Pair_s5lQqN","4","4","Person A","€275","€725","Not accept","2025-12-08 09:30:26","","","","","",""
"Pair_lVmzZC","4","1","Person A","€300","€700","Too low - counteroffer","2025-12-08 09:27:51","","","","","",""
"Pair_lVmzZC","4","2","Person B","€225","€775","Too low - counteroffer","2025-12-08 09:28:40","","","","","",""
"Pair_lVmzZC","4","3","Person A","€290","€710","Too low - counteroffer","2025-12-08 09:29:09","","","","","",""
"Pair_lVmzZC","4","4","Person B","€235","€765","Too low - counteroffer","2025-12-08 09:29:42","","","","","",""
"Pair_lVmzZC","4","5","Person A","€280","€720","Too low - counteroffer","2025-12-08 09:30:11","","","","","",""
"Pair_lVmzZC","4","6","Person B","€250","€750","Too low - counteroffer","2025-12-08 09:30:41","","","","","",""
"Pair_lVmzZC","4","7","Person A","€270","€730","Not accept","2025-12-08 09:30:55","","","","","",""
"Pair_EEwYfa","4","1","Person A","€240","€760","Too low - counteroffer","2025-12-08 09:29:17","","","","","",""
"Pair_EEwYfa","4","2","Person B","€225","€775","Accept - offer accepted","2025-12-08 09:30:05","","","","","",""
"Pair_1vMDpA","1","1","Person B","€750","€250","Accept - offer accepted","2025-12-08 09:28:20","","","","","",""
"Pair_E7xHcF","2","1","Person B","€200","€800","Too low - counteroffer","2025-12-08 09:29:13","","","","","",""
"Pair_E7xHcF","2","2","Person A","€250","€750","Accept - offer accepted","2025-12-08 09:30:05","","","","","",""
"Pair_lzfglh","4","1","Person B","€500","€500","Accept - offer accepted","2025-12-08 09:28:59","","","","","",""
"Pair_la4X03","2","1","Person B","€300","€700","Accept - offer accepted","2025-12-08 09:29:26","","","","","",""
"Pair_m8Pp_b","4","1","Person A","€750","€250","Too low - counteroffer","2025-12-08 09:30:04","","","","","",""
"Pair_m8Pp_b","4","2","Person B","€728","€272","Accept - offer accepted","2025-12-08 09:31:03","","","","","",""
"Pair_x9pkJL","2","1","Person A","€400","€600","Too low - counteroffer","2025-12-08 09:30:19","","","","","",""
"Pair_x9pkJL","2","2","Person B","€800","€200","Too low - counteroffer","2025-12-08 09:30:50","","","","","",""
"Pair_x9pkJL","2","3","Person A","€300","€700","Accept - offer accepted","2025-12-08 09:31:26","","","","","",""
"Pair_vlXpih","1","1","Person B","€200","€800","Too low - counteroffer","2025-12-08 09:30:43","","","","","",""
"Pair_vlXpih","1","2","Person A","€500","€500","Too low - counteroffer","2025-12-08 09:31:20","","","","","",""
"Pair_vlXpih","1","3","Person B","€100","€900","Too low - counteroffer","2025-12-08 09:31:39","","","","","",""
"Pair_vlXpih","1","4","Person A","€600","€400","Not accept","2025-12-08 09:32:02","","","","","",""
"Pair_eXp7_U","2","1","Person A","€1,000","€0","Better offer outside option","2025-12-08 09:31:25","","","","","",""
"Pair_eXp7_U","2","2","Person B","€148","€852","Too low - counteroffer","2025-12-08 09:31:51","","","","","",""
"Pair_eXp7_U","2","3","Person A","€499","€501","Better offer outside option","2025-12-08 09:32:11","","","","","",""
"Pair_eXp7_U","2","4","Person B","€212","€788","Too low - counteroffer","2025-12-08 09:32:42","","","","","",""
"Pair_eXp7_U","2","5","Person A","€492","€508","Better offer outside option","2025-12-08 09:32:57","","","","","",""
"Pair_eXp7_U","2","6","Person B","€300","€700","Too low - counteroffer","2025-12-08 09:33:45","","","","","",""
"Pair_eXp7_U","2","7","Person A","€451","€549","Not accept","2025-12-08 09:33:55","","","","","",""
"Pair_CbQElH","3","1","Person B","€230","€770","Too low - counteroffer","2025-12-08 09:32:11","","","","","",""
"Pair_CbQElH","3","2","Person A","€250","€750","Accept - offer accepted","2025-12-08 09:32:31","","","","","",""
"Pair_PNNzkl","1","1","Person B","€201","€799","Too low - counteroffer","2025-12-08 09:32:15","","","","","",""
"Pair_yDpFQw","1","1","Person B","€348","€652","Accept - offer accepted","2025-12-08 13:23:34","","","","","",""
"Pair_oGsNgW","4","1","Person B","€500","€500","Accept - offer accepted","2025-12-08 13:23:07","","","","","",""
"Pair_Jt4-bM","2","1","Person B","€333","€667","Not accept","2025-12-08 13:26:15","","","","","",""
"Pair_p3glG9","2","1","Person B","€0","€1,000","Too low - counteroffer","2025-12-08 13:23:59","","","","","",""
"Pair_p3glG9","2","2","Person A","€400","€600","Better offer outside option","2025-12-08 13:24:58","","","","","",""
"Pair_p3glG9","2","3","Person B","€200","€800","Too low - counteroffer","2025-12-08 13:25:41","","","","","",""
"Pair_p3glG9","2","4","Person A","€450","€550","Better offer outside option","2025-12-08 13:25:59","","","","","",""
"Pair_p3glG9","2","5","Person B","€250","€750","Too low - counteroffer","2025-12-08 13:26:22","","","","","",""
"Pair_p3glG9","2","6","Person A","€475","€525","Better offer outside option","2025-12-08 13:26:45","","","","","",""
"Pair_p3glG9","2","7","Person B","€300","€700","Accept - offer accepted","2025-12-08 13:27:19","","","","","",""
"Pair_qRlPq8","1","1","Person A","€500","€500","Better offer outside option","2025-12-08 13:25:47","","","","","",""
"Pair_qRlPq8","1","2","Person B","€400","€600","Not accept","2025-12-08 13:26:21","","","","","",""
"Pair_27f3_D","2","1","Person A","€500","€500","Too low - counteroffer","2025-12-08 13:25:01","","","","","",""
"Pair_HhhofB","3","1","Person A","€600","€400","Too low - counteroffer","2025-12-08 13:25:51","","","","","",""
"Pair_HhhofB","3","2","Person B","€500","€500","Accept - offer accepted","2025-12-08 13:27:06","","","","","",""
"Pair_s-f_rA","3","1","Person A","€500","€500","Too low - counteroffer","2025-12-08 13:24:24","fehler","","","","",""
"Pair_UEMYWo","1","1","Person A","€1,000","€0","Accept - offer accepted","2025-12-08 13:26:33","","","","","",""
"Pair_-mJ20S","3","1","Person B","€0","€1,000","Too low - counteroffer","2025-12-08 13:25:26","","","","","",""
"Pair_-mJ20S","3","2","Person A","€496","€504","Better offer outside option","2025-12-08 13:26:38","","","","","",""
"Pair_-mJ20S","3","3","Person B","€1","€999","Too low - counteroffer","2025-12-08 13:27:04","","","","","",""
"Pair_-mJ20S","3","4","Person A","€300","€700","Accept - offer accepted","2025-12-08 13:27:27","","","","","",""
"Pair_BJaOuD","4","1","Person A","€1,000","€0","Accept - offer accepted","2025-12-08 13:26:08","","","","","",""
"Pair_Fy2w8Z","2","1","Person B","€300","€700","Too low - counteroffer","2025-12-08 13:26:46","","","","","",""
"Pair_Fy2w8Z","2","2","Person A","€400","€600","Better offer outside option","2025-12-08 13:28:11","","","","","",""
"Pair_Fy2w8Z","2","3","Person B","€300","€700","Accept - offer accepted","2025-12-08 13:28:32","","","","","",""
"Pair_yexSuf","1","1","Person A","€600","€400","Accept - offer accepted","2025-12-08 13:27:08","","","","","",""
"Pair_jDTeJV","1","1","Person B","€750","€250","Accept - offer accepted","2025-12-08 13:28:50","","","","","",""
"Pair_DTnkz4","1","1","Person A","€750","€250","Accept - offer accepted","2025-12-08 13:28:07","","","","","",""
"Pair_pZfd42","3","1","Person A","€500","€500","Too low - counteroffer","2025-12-08 15:05:14","","","","","",""
"Pair_pZfd42","3","2","Person B","€300","€700","Too low - counteroffer","2025-12-08 15:06:07","","","","","",""
"Pair_pZfd42","3","3","Person A","€450","€550","Too low - counteroffer","2025-12-08 15:06:29","","","","","",""
"Pair_pZfd42","3","4","Person B","€315","€685","Accept - offer accepted","2025-12-08 15:07:15","","","","","",""
"Pair_eS5_PN","1","1","Person A","€300","€700","Accept - offer accepted","2025-12-08 15:07:37","","","","","",""
"Pair_D0E3b-","4","1","Person A","€0","€1,000","Accept - offer accepted","2025-12-08 15:07:12","","","","","",""
"Pair_m6FGLs","3","1","Person A","€400","€600","Too low - counteroffer","2025-12-08 22:05:44","","","","","",""
"Pair_m6FGLs","3","2","Person B","€350","€650","Accept - offer accepted","2025-12-08 22:07:27","","","","","",""
"Pair_DfsPAj","2","1","Person B","€300","€700","Accept - offer accepted","2025-12-08 22:20:53","","","","","",""
"Pair__KW6E4","4","1","Person B","€50","€950","Too low - counteroffer","2025-12-08 22:29:27","","","","","",""
"Pair__KW6E4","4","2","Person A","€500","€500","Too low - counteroffer","2025-12-08 22:31:09","","","","","",""
"Pair__KW6E4","4","3","Person B","€150","€850","Better offer outside option","2025-12-08 22:32:09","Fehler","","","","",""
"Pair_ih2eMC","4","1","Person A","€240","€760","Too low - counteroffer","2025-12-08 22:35:57","","","","","",""
"Pair_ih2eMC","4","2","Person B","€200","€800","Better offer outside option","2025-12-08 22:36:45","","","","","",""
"Pair_ih2eMC","4","3","Person A","€230","€770","Too low - counteroffer","2025-12-08 22:37:10","","","","","",""
"Pair_ih2eMC","4","4","Person B","€210","€790","Too low - counteroffer","2025-12-08 22:37:49","","","","","",""
"Pair_ih2eMC","4","5","Person A","€225","€775","Accept - offer accepted","2025-12-08 22:38:24","","","","","",""
"Pair_kWM10u","3","1","Person B","€250","€750","Too low - counteroffer","2025-12-09 15:12:59","","","","","",""
"Pair_kWM10u","3","2","Person A","€300","€700","Better offer outside option","2025-12-09 15:13:34","","","","","",""
"Pair_kWM10u","3","3","Person B","€275","€725","Accept - offer accepted","2025-12-09 15:14:15","","","","","",""
"Pair_rEa9Eg","1","1","Person B","€300","€700","Too low - counteroffer","2025-12-09 15:12:24","","","","","",""
"Pair_rEa9Eg","1","2","Person A","€405","€595","Accept - offer accepted","2025-12-09 15:12:55","","","","","",""
"Pair_JMjB6M","2","1","Person A","€300","€700","Too low - counteroffer","2025-12-09 15:13:54","","","","","",""
"Pair_JMjB6M","2","2","Person B","€250","€750","Too low - counteroffer","2025-12-09 15:14:36","","","","","",""
"Pair_JMjB6M","2","3","Person A","€300","€700","Not accept","2025-12-09 15:15:01","","","","","",""
"Pair_vgQL-x","1","1","Person B","€300","€700","Too low - counteroffer","2025-12-09 15:13:22","","","","","",""
"Pair_vgQL-x","1","2","Person A","€350","€650","Too low - counteroffer","2025-12-09 15:13:49","","","","","",""
"Pair_vgQL-x","1","3","Person B","€300","€700","Better offer outside option","2025-12-09 15:13:57","","","","","",""
"Pair_vgQL-x","1","4","Person A","€349","€651","Not accept","2025-12-09 15:14:19","","","","","",""
"Pair_4OE_We","4","1","Person A","€300","€700","Too low - counteroffer","2025-12-09 15:13:49","","","","","",""
"Pair_4OE_We","4","2","Person B","€200","€800","Not accept","2025-12-09 15:14:03","","","","","",""
"Pair_X2_5rO","3","1","Person A","€250","€750","Accept - offer accepted","2025-12-09 15:15:30","","","","","",""
"Pair_9782z_","1","1","Person A","€300","€700","Better offer outside option","2025-12-09 15:15:00","","","","","",""
"Pair_9782z_","1","2","Person B","€250","€750","Better offer outside option","2025-12-09 15:15:13","fehler","","","","",""
"Pair_RIwIHr","3","1","Person A","€650","€350","Too low - counteroffer","2025-12-09 15:16:22","","","","","",""
"Pair_RIwIHr","3","2","Person B","€300","€700","Too low - counteroffer","2025-12-09 15:16:59","","","","","",""
"Pair_RIwIHr","3","3","Person A","€675","€325","Accept - offer accepted","2025-12-09 15:17:17","","","","","",""
"Pair_BDK47K","1","1","Person B","€461","€539","Too low - counteroffer","2025-12-13 13:26:26","","","","","",""
"Pair_BDK47K","1","2","Person A","€484","€516","Too low - counteroffer","2025-12-13 13:26:38","","","","","",""
"Pair_BDK47K","1","3","Person B","€585","€415","Too low - counteroffer","2025-12-13 13:26:48","","","","","",""
"Pair_BDK47K","1","4","Person A","€606","€394","Too low - counteroffer","2025-12-13 13:26:56","","","","","",""
"Pair_BDK47K","1","5","Person B","€358","€642","Better offer outside option","2025-12-13 13:27:03","","","","","",""
"Pair_BDK47K","1","6","Person A","€572","€428","Too low - counteroffer","2025-12-13 13:27:08","","","","","",""
"Pair_BDK47K","1","7","Person B","€640","€360","Better offer outside option","2025-12-13 13:27:16","","","","","",""
"Pair_BDK47K","1","8","Person A","€693","€307","Too low - counteroffer","2025-12-13 13:27:26","","","","","",""
"Pair_BDK47K","1","9","Person B","€230","€770","Too low - counteroffer","2025-12-13 13:27:37","","","","","",""
"Pair_BDK47K","1","10","Person A","€546","€454","Not accept","2025-12-13 13:27:43","","","","","",""
"Pair_GzqxNk","1","1","Person B","€352","€648","Not accept","2025-12-17 15:55:40","","","","","",""
"Pair_7xfWzR","1","1","Person B","€400","€600","Better offer outside option","2025-12-17 15:57:21","","","","","",""
"Pair_7xfWzR","1","2","Person A","€525","€475","Too low - counteroffer","2025-12-17 15:58:37","","","","","",""
"Pair_7xfWzR","1","3","Person B","€449","€551","Too low - counteroffer","2025-12-17 16:00:09","","","","","",""
"Pair_7xfWzR","1","4","Person A","€526","€474","Better offer outside option","2025-12-17 16:00:56","","","","","",""
"Pair_7xfWzR","1","5","Person B","€462","€538","Accept - offer accepted","2025-12-17 16:02:23","","","","","",""
"Pair_8ycBuH","1","1","Person B","€260","€740","Too low - counteroffer","2025-12-18 01:51:51","","","","","",""
"Pair_8ycBuH","1","2","Person A","€320","€680","Too low - counteroffer","2025-12-18 01:54:12","","","","","",""
"Pair_8ycBuH","1","3","Person B","€270","€730","Too low - counteroffer","2025-12-18 01:54:55","","","","","",""
"Pair_8ycBuH","1","4","Person A","€300","€700","Accept - offer accepted","2025-12-18 01:55:57","","","","","",""
"Pair_zyeB40","2","1","Person A","€600","€400","Too low - counteroffer","2025-12-18 02:05:19","","","","","",""
"Pair_zyeB40","2","2","Person B","€700","€300","Accept - offer accepted","2025-12-18 02:06:29","","","","","",""
"Pair_zD9QGl","3","1","Person B","€900","€100","Too low - counteroffer","2025-12-18 02:17:12","","","","","",""
"Pair_zD9QGl","3","2","Person A","€250","€750","Too low - counteroffer","2025-12-18 02:18:11","","","","","",""
"Pair_zD9QGl","3","3","Person B","€900","€100","Too low - counteroffer","2025-12-18 02:18:25","","","","","",""
"Pair_zD9QGl","3","4","Person A","€250","€750","Too low - counteroffer","2025-12-18 02:18:35","","","","","",""
"Pair_zD9QGl","3","5","Person B","€800","€200","Too low - counteroffer","2025-12-18 02:18:58","","","","","",""
"Pair_zD9QGl","3","6","Person A","€250","€750","Better offer outside option","2025-12-18 02:19:17","","","","","",""
"Pair_zD9QGl","3","7","Person B","€800","€200","Too low - counteroffer","2025-12-18 02:19:29","","","","","",""
"Pair_zD9QGl","3","8","Person A","€250","€750","Accept - offer accepted","2025-12-18 02:19:37","","","","","",""
"Pair_4bUUB8","4","1","Person B","€850","€150","Too low - counteroffer","2025-12-18 02:24:40","","","","","",""
"Pair_4bUUB8","4","2","Person A","€250","€750","Too low - counteroffer","2025-12-18 02:25:04","","","","","",""
"Pair_4bUUB8","4","3","Person B","€900","€100","Too low - counteroffer","2025-12-18 02:25:22","","","","","",""
"Pair_4bUUB8","4","4","Person A","€200","€800","Too low - counteroffer","2025-12-18 02:26:05","","","","","",""
"Pair_4bUUB8","4","5","Person B","€850","€150","Accept - offer accepted","2025-12-18 02:26:16","","","","","",""
"Pair_XpypED","1","1","Person B","€250","€750","Too low - counteroffer","2025-12-27 17:50:36","","","","","",""
"Pair_XpypED","1","2","Person A","€300","€700","Too low - counteroffer","2025-12-27 17:50:59","","","","","",""
"Pair_XpypED","1","3","Person B","€255","€745","Too low - counteroffer","2025-12-27 17:51:13","","","","","",""
"Pair_XpypED","1","4","Person A","€295","€705","Better offer outside option","2025-12-27 17:51:26","","","","","",""
"Pair_XpypED","1","5","Person B","€256","€744","Too low - counteroffer","2025-12-27 17:51:38","","","","","",""
"Pair_XpypED","1","6","Person A","€294","€706","Too low - counteroffer","2025-12-27 17:51:49","","","","","",""
"Pair_XpypED","1","7","Person B","€260","€740","Too low - counteroffer","2025-12-27 17:52:14","","","","","",""
"Pair_XpypED","1","8","Person A","€280","€720","Too low - counteroffer","2025-12-27 17:52:25","","","","","",""
"Pair_XpypED","1","9","Person B","€270","€730","Too low - counteroffer","2025-12-27 17:53:07","","","","","",""
"Pair_XpypED","1","10","Person A","€275","€725","Accept - offer accepted","2025-12-27 17:53:18","","","","","",""
"Pair_VDJhT3","2","1","Person B","€200","€800","Too low - counteroffer","2025-12-27 17:54:30","","","","","",""
"Pair_VDJhT3","2","2","Person A","€500","€500","Too low - counteroffer","2025-12-27 17:54:42","","","","","",""
"Pair_VDJhT3","2","3","Person B","€201","€799","Too low - counteroffer","2025-12-27 17:55:08","","","","","",""
"Pair_VDJhT3","2","4","Person A","€400","€600","Too low - counteroffer","2025-12-27 17:55:20","","","","","",""
"Pair_VDJhT3","2","5","Person B","€210","€790","Too low - counteroffer","2025-12-27 17:55:42","","","","","",""
"Pair_VDJhT3","2","6","Person A","€350","€650","Too low - counteroffer","2025-12-27 17:56:02","","","","","",""
"Pair_VDJhT3","2","7","Person B","€250","€750","Accept - offer accepted","2025-12-27 17:56:31","","","","","",""
"Pair_H0xXi5","1","1","Person B","€200","€800","Too low - counteroffer","2026-01-07 18:09:10","","","","","",""
"Pair_H0xXi5","1","2","Person A","€300","€700","Too low - counteroffer","2026-01-07 18:09:24","","","","","",""
"Pair_H0xXi5","1","3","Person B","€250","€750","Too low - counteroffer","2026-01-07 18:09:37","","","","","",""
